idx,date,question_type,regulation,duration_ms,input_tokens,output_tokens,n_retrieved_chunks,feedback,feedback_category
604,2026-06-20,infracciones,orden_justicia,9503,7699,135,8,none,
605,2026-06-20,articulos,transito,16021,5368,461,8,none,
606,2026-06-20,infracciones,transito,15644,9239,409,8,none,
607,2026-06-20,infracciones,transito,12474,7705,119,8,none,
608,2026-06-20,infracciones,orden_justicia,12575,5038,209,8,none,
609,2026-06-20,infracciones,transito,10139,9707,139,8,none,
610,2026-06-20,infracciones,orden_justicia,24907,4621,354,8,none,
611,2026-06-20,articulos,transito,17991,9935,452,8,none,
612,2026-06-20,articulos,transito,18989,6192,671,8,none,
613,2026-06-20,infracciones,transito,9085,9245,90,8,none,
614,2026-06-20,infracciones,transito,17380,7165,210,8,none,
615,2026-06-20,infracciones,transito,19274,8091,109,8,none,
616,2026-06-20,definiciones,transito,8962,2296,151,8,none,
617,2026-06-20,infracciones,transito,7025,10416,102,8,like,
618,2026-06-20,infracciones,transito,17369,9232,224,8,none,
619,2026-06-20,infracciones,transito,12163,9225,138,8,none,
620,2026-06-20,definiciones,transito,15754,2365,183,8,none,
621,2026-06-20,articulos,transito,6010,8262,110,8,none,
622,2026-06-20,articulos,transito,10147,4305,134,8,none,
623,2026-06-20,infracciones,transito,16627,10471,247,8,none,
624,2026-06-20,infracciones,orden_justicia,10198,4764,34,8,none,
625,2026-06-20,articulos,transito,14977,4761,116,8,none,
626,2026-06-20,infracciones,transito,14322,7981,125,8,none,
627,2026-06-20,infracciones,transito,8720,8713,120,8,none,
628,2026-06-20,infracciones,transito,6077,12266,100,8,none,
629,2026-06-20,infracciones,transito,9145,8799,143,8,none,
630,2026-06-20,articulos,transito,9732,5473,144,8,none,
631,2026-06-20,articulos,transito,16321,6190,680,8,none,
632,2026-06-20,articulos,transito,13233,9935,573,8,none,
633,2026-06-20,infracciones,transito,16413,7939,501,8,none,
634,2026-06-20,articulos,transito,14388,17222,785,9,none,
635,2026-06-20,infracciones,transito,7788,10521,156,8,none,
636,2026-06-20,articulos,transito,18192,4818,257,8,none,
637,2026-06-21,infracciones,transito,7220,3908,153,8,none,
638,2026-06-21,articulos,transito,21650,3829,299,8,none,
639,2026-06-21,articulos,transito,15503,8519,828,8,none,
640,2026-06-21,infracciones,transito,25232,3729,327,8,none,
641,2026-06-21,articulos,transito,16712,15736,37,8,none,
642,2026-06-21,infracciones,transito,7131,7686,86,8,none,
643,2026-06-21,infracciones,orden_justicia,10910,5229,339,8,none,
644,2026-06-21,articulos,orden_justicia,11320,4651,262,8,none,
645,2026-06-21,articulos,transito,6375,15988,96,9,none,
646,2026-06-21,articulos,transito,7362,11463,137,9,none,
647,2026-06-21,articulos,transito,6309,15856,128,9,none,
648,2026-06-21,articulos,transito,11264,16042,358,9,none,
649,2026-06-21,infracciones,transito,8290,8669,123,8,none,
650,2026-06-21,infracciones,transito,16614,7079,173,8,none,
651,2026-06-21,infracciones,transito,9001,7199,260,8,none,
652,2026-06-21,infracciones,transito,13570,7210,180,8,none,
653,2026-06-21,infracciones,transito,16746,6860,144,8,none,
654,2026-06-21,infracciones,transito,15320,9959,219,8,none,
655,2026-06-21,infracciones,transito,8951,7969,142,8,none,
656,2026-06-21,articulos,orden_justicia,20810,4496,560,8,none,
657,2026-06-21,articulos,ambos,24508,4527,642,8,none,
658,2026-06-21,infracciones,orden_justicia,17223,4036,814,8,none,
659,2026-06-21,articulos,transito,17547,6220,1361,8,none,
660,2026-06-21,articulos,ambos,19576,4776,637,8,none,
661,2026-06-21,articulos,transito,7556,11553,105,8,none,
662,2026-06-21,articulos,unknown,10,0,0,0,none,
663,2026-06-21,articulos,unknown,7,0,0,0,none,
664,2026-06-21,infracciones,transito,10349,8843,116,8,none,
